doc_id,n_parrafos,topic_dominante,topic_dominante_share,outlier_share
E164_ATOS_2022,370,297,0.1378,0.4135
E164_ATOS_2023,436,179,0.172,0.3991
E164_ATOS_2024,1539,181,0.1157,0.4191
E165_AMS_2022,48,224,0.2708,0.3125
E165_AMS_2023,41,1,0.3415,0.439
E165_AMS_2024,650,224,0.2185,0.2923
E166_TELIA_2022,234,131,0.1368,0.3974
E166_TELIA_2023,229,131,0.2664,0.3886
E166_TELIA_2024,493,131,0.1886,0.3834
E167_TEL_2022,58,102,0.1897,0.3966
E167_TEL_2023,249,102,0.2851,0.2932
E167_TEL_2024,768,102,0.2435,0.3307
E168_ERICb_2022,597,216,0.067,0.5494
E168_ERICb_2023,630,216,0.0587,0.5857
E168_ERICb_2024,487,2,0.0287,0.6078
E169_TEF_2022,315,112,0.0635,0.4476
E169_TEF_2023,1762,60,0.0233,0.4682
E169_TEF_2024,24,63,0.25,0.5833
E170_KPN_2022,388,74,0.2526,0.4278
E170_KPN_2023,385,74,0.1818,0.439
E170_KPN_2024,1151,74,0.1399,0.4718
E171_ENT_2022,152,37,0.0658,0.3487
E171_ENT_2023,254,440,0.1024,0.3701
E171_ENT_2024,213,0,0.0892,0.4272
E172_LHA_2022,107,164,0.1589,0.3178
E172_LHA_2023,368,164,0.3261,0.1359
E172_LHA_2024,841,143,0.2033,0.3496
E173_IAG_2022,301,41,0.2226,0.3488
E173_IAG_2023,367,41,0.3324,0.2888
E173_IAG_2024,116,41,0.3534,0.2672
E174_NTGY_2022,716,215,0.1732,0.3939
E174_NTGY_2023,455,150,0.2813,0.3824
E174_NTGY_2024,28,124,0.25,0.1429
E175_VIE_2022,1326,22,0.3695,0.3009
E175_VIE_2023,1485,22,0.367,0.3003
E175_VIE_2024,179,22,0.3352,0.2737
E176_SVT_2022,316,144,0.1487,0.4399
E176_SVT_2023,488,144,0.1783,0.3914
E176_SVT_2024,586,144,0.1519,0.4386
E177_RED_2022,124,17,0.0726,0.4355
E177_RED_2023,37,223,0.0541,0.7027
E177_RED_2024,16,446,0.125,0.3125
E178_IBE_2022,120,328,0.2083,0.425
E178_IBE_2023,136,328,0.1985,0.4559
E178_IBE_2024,124,328,0.1855,0.3145
E179_CBK_2022,279,416,0.086,0.4839
E179_CBK_2023,507,4,0.0572,0.4596
E179_CBK_2024,872,339,0.078,0.3968
E180_BAER_2022,9,51,0.1111,0.8889
E180_BAER_2023,9,51,0.1111,0.8889
E180_BAER_2024,9,51,0.1111,0.8889
E181_ASML_2022,149,211,0.1007,0.3826
E181_ASML_2023,551,84,0.0526,0.4809
E181_ASML_2024,1510,30,0.0225,0.5682
E182_MEL_2022,194,3,0.0773,0.4433
E182_MEL_2023,266,4,0.0602,0.5677
E182_MEL_2024,433,4,0.0577,0.4527
E183_G24_2022,9,550,0.1111,0.8889
E183_G24_2023,299,545,0.0769,0.4816
E183_G24_2024,377,545,0.0796,0.504
E184_SPSN_2022,563,140,0.2433,0.4103
E184_SPSN_2023,314,140,0.1465,0.4268
E184_SPSN_2024,600,140,0.095,0.4917
E185_LEG_2022,139,550,0.0719,0.4748
E185_LEG_2023,134,550,0.1045,0.4478
E185_LEG_2024,364,0,0.0412,0.4973
E186_NHY_2022,197,29,0.1117,0.401
E186_NHY_2023,903,82,0.2669,0.3455
E186_NHY_2024,781,82,0.2484,0.3739
E187_OCI_2022,42,20,0.2857,0.619
E187_OCI_2023,39,20,0.1538,0.7692
E187_OCI_2024,17,20,0.2353,0.7059
E188_CLN_2022,899,21,0.3571,0.3115
E188_CLN_2023,919,21,0.3656,0.272
E188_CLN_2024,1384,21,0.3194,0.276
E189_MB_2022,25,161,0.12,0.44
E189_MB_2023,14,0,0.1429,0.7143
E189_MB_2024,21,0,0.0952,0.7619
E190_DB1_2022,8,219,0.125,0.75
E190_DB1_2023,44,422,0.4545,0.3864
E190_DB1_2024,259,11,0.0425,0.4479
E191_RIGN_2022,19,488,0.5263,0.3158
E191_RIGN_2023,62,488,0.5645,0.2903
E191_RIGN_2024,11,488,1.0,0.0
E192_SRG_2022,675,45,0.0281,0.5244
E192_SRG_2023,42,309,0.1429,0.4286
E192_SRG_2024,1008,133,0.0476,0.5268
E193_LSG_2022,52,174,0.2692,0.5
