id_empresa,empresa,ticker,pais,año,tipo_informe,url_fuente,fecha_descarga,n_paginas,idioma,estado,notas
E039,Novo Nordisk,NOVO B,Denmark,2024,integrated,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf,2026-05-26,162.0,,descargado,
E040,ConvaTec,CTEC,United Kingdom,2022,integrated,https://www.convatecgroup.com/globalassets/global-assets/pdf/convatec_ar2022__interactive.pdf,2026-05-27,180.0,,descargado,no encontrado automáticamente
E040,ConvaTec,CTEC,United Kingdom,2023,integrated,https://www.convatecgroup.com/globalassets/global-assets/pdf/convatec-ar-2023_interactive.pdf,2026-05-27,137.0,,descargado,no encontrado automáticamente
E040,ConvaTec,CTEC,United Kingdom,2024,integrated,https://www.convatecgroup.com/siteassets/convatec-ara-2024.pdf,2026-05-27,168.0,,descargado,no encontrado automáticamente
E041,Alcon,ALC,Switzerland,2022,integrated,https://s1.q4cdn.com/963204942/files/doc_financials/2022/ar/Alcon-2022-Annual-Report.pdf,2026-05-27,34.0,,descargado,no encontrado automáticamente
E041,Alcon,ALC,Switzerland,2023,integrated,https://s1.q4cdn.com/963204942/files/doc_earnings/2023/q4/supplemental-info/2023-Annual-Report.pdf,2026-05-27,38.0,,descargado,no encontrado automáticamente
E041,Alcon,ALC,Switzerland,2024,integrated,https://s1.q4cdn.com/963204942/files/doc_earnings/2024/q4/supplemental-info/2024-Annual-Report.pdf,2026-05-27,43.0,,descargado,no encontrado automáticamente
E042,Qiagen,QIA,Netherlands,2022,integrated,https://s28.q4cdn.com/125951340/files/doc_downloads/other_reports/2022-IFRS-Annual-Report.pdf,2026-05-27,80.0,,descargado,no encontrado automáticamente
E042,Qiagen,QIA,Netherlands,2023,integrated,https://s28.q4cdn.com/125951340/files/doc_financials/2023/ar/2023-IFRS-Annual-Report.pdf,2026-05-27,177.0,,descargado,no encontrado automáticamente
E042,Qiagen,QIA,Netherlands,2024,integrated,https://s28.q4cdn.com/125951340/files/doc_financials/2024/ar/2024-IFRS-Annual-Report.pdf,2026-05-27,346.0,,descargado,no encontrado automáticamente
E043,Lonza Group,LONN,Switzerland,2022,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/l/lonza_2022.pdf,2026-05-30,234.0,en,descargado,Annual Report narrativo 234pp — reemplaza financial statements
E043,Lonza Group,LONN,Switzerland,2023,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/l/lonza_2023.pdf,2026-05-28,108.0,,descargado,no encontrado automáticamente
E043,Lonza Group,LONN,Switzerland,2024,integrated,https://www.annualreports.com/HostedData/AnnualReports/PDF/lonza_2024.pdf,2026-05-28,93.0,,descargado,no encontrado automáticamente
E044,Leonardo,LDO,Italy,2022,,,,432.0,,descargado,reconciliado
E044,Leonardo,LDO,Italy,2023,,,,437.0,,descargado,reconciliado
E044,Leonardo,LDO,Italy,2024,,,,424.0,,descargado,reconciliado
E045,Bolloré,BOL,France,2022,integrated,https://www.bollore.com/wp-content/uploads/2023/04/0421_boll22t023_deu_fr_pour-mel.pdf,2026-05-27,105.0,,descargado,no encontrado automáticamente
E045,Bolloré,BOL,France,2023,integrated,https://www.bollore.com/wp-content/uploads/2024/04/0423_boll23t029_deu_fr_2023.pdf,2026-05-27,104.0,,descargado,no encontrado automáticamente
E045,Bolloré,BOL,France,2024,integrated,https://www.bollore.com/wp-content/uploads/2025/04/boll24t035_deu_fr_2024_mel.pdf,2026-05-27,106.0,,descargado,no encontrado automáticamente
