ticker_wiki,nombre,sector_icb,pais,sede
PSN,Publicis,Media,France,Paris
PUM,Puma,Consumer Products and Services,Germany,Herzogenaurach
QIA,Qiagen,Health Care,Netherlands,Venlo
RBI,Raiffeisen Bank International,Banks,Austria,Vienna
REC,Recordati,Health Care,Italy,Milan
RHM,Rheinmetall,Industrial Goods and Services,Germany,Düsseldorf
RIGN,Transocean,Energy,Switzerland,Steinhausen
RNL,Renault,Automobiles and Parts,France,Boulogne-Billancourt
CFR,Richemont,Consumer Products and Services,Switzerland,Bellevue
ROG,Roche Holding,Health Care,Switzerland,Basel
ROL,Royal Mail,Industrial Goods and Services,United Kingdom,London
RWE,RWE,Utilities,Germany,Essen
SGE,Sage Group,Technology,United Kingdom,Newcastle upon Tyne
SBRY,Sainsbury's,Retail,United Kingdom,London
SGO,Saint-Gobain,Construction and Materials,France,Courbevoie
SALM,SalMar,"Food, Beverage and Tobacco",Norway,Frøya
SAMPO,Sampo Group,Insurance,Finland,Helsinki
SNY,Sanofi,Health Care,France,Paris
SANO,Sanoma,Media,Finland,Helsinki
SAP,SAP,Technology,Germany,Walldorf
SECU B,Securitas AB,Industrial Goods and Services,Sweden,Stockholm
SU,Schneider Electric,Industrial Goods and Services,France,Rueil-Malmaison
SCR,SCOR SE,Insurance,France,Paris
SGSN,SGS S.A.,Industrial Goods and Services,Switzerland,Geneva
SHEL,Shell plc,Energy,United Kingdom,London
SIE,Siemens,Industrial Goods and Services,Germany,Munich
SIG,SIG Group,Industrial Goods and Services,Switzerland,Neuhausen am Rheinfall
SEB,Skandinaviska Enskilda Banken,Banks,Sweden,Stockholm
SKA B,Skanska,Construction and Materials,Sweden,Stockholm
SKF B,SKF,Industrial Goods and Services,Sweden,Gothenburg
SKY,Sky Group,Media,United Kingdom,London
SMIN,Smiths Group,Industrial Goods and Services,United Kingdom,London
SN,Smith & Nephew,Health Care,United Kingdom,London
SOLB,Solvay,Chemicals,Belgium,Brussels
SON,Sonova,Health Care,Switzerland,Stäfa
SPX,Spirax-Sarco Engineering,Industrial Goods and Services,United Kingdom,Cheltenham
SSE,SSE plc,Utilities,United Kingdom,Perth
SRB,Storebrand,Insurance,Norway,Oslo
STER,Stora Enso,Basic Resources,Finland,Helsinki
STMN,Straumann,Health Care,Switzerland,Basel
STMPA,STMicroelectronics,Technology,Switzerland,Geneva
SWED A,Swedbank,Banks,Sweden,Stockholm
SWMA,Swedish Match,"Food, Beverage and Tobacco",Sweden,Stockholm
SCMN,Swisscom,Telecommunications,Switzerland,Ittigen
SHB B,Svenska Handelsbanken,Banks,Sweden,Stockholm
SY1,Symrise,Chemicals,Germany,Holzminden
TATE,Tate & Lyle,"Food, Beverage and Tobacco",United Kingdom,London
TJW,Taylor Wimpey,Consumer Products and Services,United Kingdom,High Wycombe
TELIA,Telia Company,Telecommunications,Sweden,Solna
TIT,Telecom Italia,Telecommunications,Italy,Milan
TEL2 B,Tele2,Telecommunications,Sweden,Stockholm
TEL,Telenor,Telecommunications,Norway,Fornebu
TEMN,Temenos Group,Technology,Switzerland,Geneva
TEN,Tenaris,Energy,Luxembourg,Luxembourg City
TRN,Terna,Utilities,Italy,Rome
TSCO,Tesco,Retail,United Kingdom,Welwyn Garden City
TEV,Teva Pharmaceutical Industries,Health Care,Israel,Tel Aviv
TKA,ThyssenKrupp,Industrial Goods and Services,Germany,Essen
TOM,TomTom,Technology,Netherlands,Amsterdam
TTE,TotalEnergies,Energy,France,Courbevoie
TRYG,Tryg,Insurance,Denmark,Ballerup
TUI,TUI Group,Travel and Leisure,Germany,Hanover
UMI,Umicore,Chemicals,Belgium,Brussels
UC,UniCredit,Banks,Italy,Milan
ULVR,Unilever,"Personal Care, Drug and Grocery Stores",United Kingdom,London
UPW,United Utilities,Utilities,United Kingdom,Warrington
UMG,Universal Music Group,Media,Netherlands,Hilversum
VALMT,Valmet,Industrial Goods and Services,Finland,Espoo
VACN,VAT Group,Industrial Goods and Services,Switzerland,Haag
VESTAS,Vestas,Energy,Denmark,Aarhus
VIV,Vivendi,Media,France,Paris
VOD,Vodafone,Telecommunications,United Kingdom,Newbury
VOLV B,Volvo Group,Industrial Goods and Services,Sweden,Gothenburg
VNA,Vonovia,Real Estate,Germany,Bochum
WTB,Whitbread,Travel and Leisure,United Kingdom,Dunstable
WKL,Wolters Kluwer,Media,Netherlands,Alphen aan den Rijn
WPP,WPP,Media,United Kingdom,London
PSON,Pearson,Media,United Kingdom,London
PNN,Pennon Group,Utilities,United Kingdom,Exeter
PHNX,Phoenix Group,Insurance,United Kingdom,London
PIRC,Pirelli,Automobiles and Parts,Italy,Milan
PLPH,PolyPeptide,Health Care,Switzerland,Zug
PAH3,Porsche SE,Automobiles and Parts,Germany,Stuttgart
PST,Poste Italiane,Insurance,Italy,Rome
PROX,Proximus,Telecommunications,Belgium,Brussels
PRU,Prudential,Insurance,United Kingdom,London
PRY,Prysmian,Industrial Goods and Services,Italy,Milan
QLT,Quilter,Financial Services,United Kingdom,London
FRA,Rational,Industrial Goods and Services,Germany,Landsberg am Lech
REL,RELX,Media,United Kingdom,London
RCO,Rémy Cointreau,"Food, Beverage and Tobacco",France,Paris
RENA,Renault,Automobiles and Parts,France,Boulogne-Billancourt
RTO,Rentokil Initial,Industrial Goods and Services,United Kingdom,Crawley
RXL,Rexel,Industrial Goods and Services,France,Paris
RMV,Rightmove,Real Estate,United Kingdom,London
RIO,Rio Tinto,Basic Resources,United Kingdom,London
RR.,Rolls-Royce,Industrial Goods and Services,United Kingdom,London
S4,S4 Capital,Media,United Kingdom,London
SGE,Sage Group,Technology,United Kingdom,Newcastle upon Tyne
SDZ,Sandoz,Health Care,Switzerland,Basel
SAND,Sandvik,Industrial Goods and Services,Sweden,Stockholm
SRT3,Sartorius,Health Care,Germany,Göttingen
SCHA,Schibsted,Media,Norway,Oslo
SDR,Schroders,Financial Services,United Kingdom,London
G24,Scout24,Technology,Germany,Munich
SVT,Severn Trent,Utilities,United Kingdom,Coventry
SHEL,Shell,Energy,United Kingdom,London
LIGHT,Signify,Construction and Materials,Netherlands,Eindhoven
SIX2,Sixt,Consumer Products and Services,Germany,Pullach
SMIN,Smiths Group,Industrial Goods and Services,United Kingdom,London
SN.,Smith & Nephew,Health Care,United Kingdom,London
SKG,Smurfit Kappa,Industrial Goods and Services,Ireland,Dublin
SRG,Snam,Energy,Italy,San Donato Milanese
GLE,Société Générale,Banks,France,Paris
SW,Sodexo,Travel and Leisure,France,Issy-les-Moulineaux
SCT,Softcat,Technology,United Kingdom,Marlow
SOW,Software,Technology,Germany,Darmstadt
SXS,Spectris,Industrial Goods and Services,United Kingdom,London
SPX,Spirax-Sarco Engineering,Industrial Goods and Services,United Kingdom,Cheltenham
SSE,SSE,Utilities,United Kingdom,Perth
STJ,St. James's Place,Financial Services,United Kingdom,Cirencester
STAN,Standard Chartered,Banks,United Kingdom,London
STLAM,Stellantis,Automobiles and Parts,Netherlands,Hoofddorp
SWECO B,Sweco,Construction and Materials,Sweden,Stockholm
SLHN,Swiss Life,Insurance,Switzerland,Zurich
SPSN,Swiss Prime Site,Real Estate,Switzerland,Olten
TLX,Talanx,Insurance,Germany,Hanover
TMV,TeamViewer,Technology,Germany,Göppingen
FTI,TechnipFMC,Energy,United Kingdom,London
